artist,birth_year,death_year,total,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Luigi Boille,,,30,3,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Feito Lpez,,,30,3,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynn Russell Chadwick,1914,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macario Vitalis,1898,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manolo Millares,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manoucher Yektai,1922,,13,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Cargaleiro,1927,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Devade,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Janson,1930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcel Gromaire,1892,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcel Mouly,1918,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcel Pouget,1923,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcelle Cahn,1895,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcelle Loubchansky,1917,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maria Helena Vieira Da Silva,1908,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mariano Carrera,1934,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Prassinos,1916,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Schifano,1934,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Rothko,1903,1970,370,3,1,1,4,1,2,3,0,2,1,0,1,0,0,0,0,0,0,0,0
Mark Tobey,1890,1976,276,2,1,1,2,2,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0
Martial Raysse,1936,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Barre,1924,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Bradley,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Esteve,1904,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Lemaitre,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Miot,1920,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Papart,1911,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mel Melvin John Ramos,1935,2018,63,1,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Michael Goldberg,1924,2007,40,2,1,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0
Michel Cadoret,1912,1985,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michel Carrade,1923,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michel Macreau,1935,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michel Seuphor,1901,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mihail Chemiakin,1943,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Milton Resnick,1917,2004,44,2,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Miodrag Djuric Dado,1933,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morris Louis,1912,1962,180,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Nasser Assar,,,180,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Natalia Dumitresco,,,180,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Naum Zeitlin,,,180,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Neil Jenney,1945,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nejad Melih Devrim,1923,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolaas Warb,1906,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas De Stael,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niki de Saint Phalle,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noel Dolla,1945,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norman Bluhm,1921,1999,38,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivier Debre,1920,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivier Mosset,1944,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On Kawara,1933,2014,12,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Orhon Mubin,1924,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscar Gauthier,1921,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otto Piene,1928,2014,20,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Picasso,1881,1973,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Paul Jenkins,1923,2012,87,2,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Kallos,1928,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Rebeyrolle,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul S Foujino,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Klasen,1935,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Saul,1934,,55,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Philip Guston,1913,1980,267,4,1,1,3,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Philip Pearlstein,1924,,179,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Philippe Hosiasson,1898,1978,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piero Dorazio,1927,2005,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Alechinsky,1927,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Bettencourt,1917,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Dmitrienko,1925,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Lagage,1911,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Soulages,1919,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Tal-Coat,1905,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinchas Burnstein Maryan,1927,1977,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralph Goings,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raoul Ubac,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Edward Johnson,1927,1995,42,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0
Raymond Abner,1924,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raymond Moisset,1906,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raymond Parker,1922,1990,40,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ren Duvillier,,,40,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ren Laubies,,,40,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Rene Guiette,,,40,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Anuszkiewicz,1930,,96,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Richard Artschwager,1923,2013,103,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Diebenkorn,,,103,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Lindner,1901,1978,95,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Pettibone,1938,,18,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Pousette-Dart,1916,1992,86,2,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Richard Tuttle,1941,,78,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Arthur Goodnough,1917,2010,59,1,2,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Robert Burns Motherwell,1915,1991,325,4,2,2,2,1,2,2,0,2,0,0,0,0,1,0,0,0,1,0,0
Robert Cottingham,1935,,61,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0
Robert E Clark Indiana,1928,2018,142,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Malaval,1937,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Mangold,1937,,73,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Robert Natkin,1930,2010,44,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Robert Rauschenberg,1925,2008,397,2,2,1,2,2,2,4,1,1,0,2,0,0,0,0,0,0,0,0,0
Robert Ryman,1930,2019,85,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Smithson,1938,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Matta,1911,2002,18,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Bissiere,1886,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Desserprit,1923,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Edgar Gillet,1924,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roland Topor,1938,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roman Opalka,1931,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romare Howard Bearden,1911,1988,159,3,0,2,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Roy Lichtenstein,1923,1997,394,4,0,0,5,0,2,2,0,1,0,1,0,0,1,0,0,1,0,0,0
Rufino Tamayo,1899,1991,13,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Ruth Francken,1924,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sakti Burman,1935,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvador Dali,1904,1989,13,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0
Salvatore Scarpitta,1919,2007,16,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Gilliam Jr,1933,,62,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Lewis Francis,1923,1994,184,2,1,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Sam Szafran,1930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saul Steinberg,1914,1999,93,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Sean Scully,1945,,34,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Serge Charchoune,1888,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serge Poliakoff,1900/1906,1969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Federico de Castro,1922,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shusaku Arakawa,1936,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sigmar Polke,1941,2010,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silvano Bozzolini,1911,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon Hantai,1922,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simone Bellet,1901,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sol LeWitt,1928,2007,199,3,2,1,0,2,1,4,1,0,0,0,0,0,2,0,0,0,0,0,0
Suzanne Roger,1899,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syed Haider Raza,1922,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tadeus Kantor,1915,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teh-Chun Chu,1920,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thanos Tsingos,1914,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theo Tobiasse,1927,2012,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Theodoros Stamos,1922,1997,124,3,1,2,0,1,0,2,0,1,2,0,2,0,0,0,0,0,0,0,0
Thomas Downing,1928,1985,16,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Wesselmann,1931,2004,157,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Toshimitsu Imai,1928,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turan Selim,1915,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ufan Lee,1936,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valerio Adami,1935,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vassilakis Takis,1925,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vera Pagava,1907,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Laks,1924,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Vasarely,1906,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladimir Velickovic,1935,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walasse Ting,1929,2010,17,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Walter Leblanc,1932,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Thiebaud,1920,,179,1,2,1,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Wifredo Oscar de la Concepcion Lam,1902,1982,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Willem de Kooning,1904,1997,484,3,2,2,7,1,3,1,0,1,1,2,0,0,1,0,0,0,0,0,0
William Baziotes,1912,1963,162,2,1,0,0,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0
William Nelson Copley,1919,1996,25,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Wojcieck Voy Fangor,1922,2015,8,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolfgang Gafgen,1936,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wou-Ki Zao,1921,2013,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Yannis Gaitis,1923,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yayoi Kusama,1929,2011,42,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves Brayer,1907,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves Klein,1928,1962,7,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Yves Saint-Laurent,1890,1970,56,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Zoran Antonio Music,1909,2005,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
